"ID","URL","Title","Slug","Lang","Excerpt","FeaturedImage","Type"
"219","https://enorpa.com/tr/agroworld-ozbekistan/","Agroworld 2020, Taşkent/Özbekistan (11-12-13 Mart 2020)","agroworld-ozbekistan",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi vitae dui et nunc ornare vulputate non fringilla massa. 
","","post"
"220","https://enorpa.com/tr/growtech-antalya-23/","Growtech 2023, Antalya","growtech-antalya-23",,"[vc_row type=&#8221;in_container&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&...","","post"
"222","https://enorpa.com/tr/domat-expo-antalya-2019/","Domat Expo, Antalya (7-9 Mart 2019)","domat-expo-antalya-2019",,"[vc_row type=&#8221;in_container&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&...","","post"
"6009","https://enorpa.com/tr/greenhouse-almati-kazakistan/","GreenHouses, Almatı/Kazakistan (20-22 Nisan 2022)","greenhouse-almati-kazakistan",,"[vc_row type=&#8221;in_container&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&...","","post"
"6631","https://enorpa.com/tr/neden-enorpa/","Neden Enorpa Enerji Kazanları Tercih Ediliyor?","neden-enorpa",,"[vc_row type=&#8221;in_container&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&...","","post"
"8224","https://enorpa.com/en/why-enorpa-energy-boilers-are-preferred/","Why Enorpa Energy Boilers are Preferred?","why-enorpa-energy-boilers-are-preferred",,"[vc_row type=&#8221;in_container&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&...","","post"
"8228","https://enorpa.com/en/domat-expo-antalya-march-7-9-2019/","Domat Expo, Antalya (March 7-9, 2019)","domat-expo-antalya-march-7-9-2019",,"[vc_row type=&#8221;in_container&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&...","","post"
"8232","https://enorpa.com/en/greenhouses-almaty-kazakhstan-april-20-22-2022/","GreenHouses, Almaty/Kazakhstan (April 20-22, 2022)","greenhouses-almaty-kazakhstan-april-20-22-2022",,"[vc_row type=&#8221;in_container&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&...","","post"
"8236","https://enorpa.com/en/growtech-2023-antalya/","Growtech 2023, Antalya","growtech-2023-antalya",,"[vc_row type=&#8221;in_container&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&...","","post"
"8239","https://enorpa.com/en/agroworld-2020-taskent-ozbekistan-11-12-13-mart-2020/","Agroworld 2020, Tashkent/ Uzbekistan (March 11-12-13, 2020)","agroworld-2020-taskent-ozbekistan-11-12-13-mart-2020",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi vitae dui et nunc ornare vulputate non fringilla massa. 
","","post"
"8805","https://enorpa.com/en/domat-expo-antalya-march-7-9-2019-2/","Domat Expo, Antalya (March 7-9, 2019)","domat-expo-antalya-march-7-9-2019-2",,"[vc_row type=&#8221;in_container&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&...","","post"
"8833","https://enorpa.com/tr/enorpa-at-greentech-amsterdam-2025/","Enorpa, GreenTech Amsterdam 2025&#8217;te!","enorpa-at-greentech-amsterdam-2025",,"Tesis Yönetiminde Devrim: Yapay Zeka Destekli Kazan Otomasyonu Tesisinizin kalbi olan kazanların verimliliğini ve güvenliğini bir üst seviyeye taşımaya hazır mısınız? Enorpa olarak, dünyanın dört bir ...","","post"
"8846","https://enorpa.com/en/enorpa-at-greentech-amsterdam-2025-2/","Enorpa at GreenTech Amsterdam 2025!","enorpa-at-greentech-amsterdam-2025-2",,"Revolution in Facility Management: AI-Supported Boiler Automation Are you ready to take the efficiency and safety of the boilers, the heart of your facility, to the next level? At Enorpa,&#8230;
","","post"
"8980","https://enorpa.com/tr/turmalin-serisi-buhar-kazani-endustriyel-isitmanin-yeni-yuzu/","Turmalin Serisi Buhar Kazanı: Endüstriyel Isıtmanın Yeni Yüzü","turmalin-serisi-buhar-kazani-endustriyel-isitmanin-yeni-yuzu",,"Endüstriyel üretim süreçlerinde buhar, en kritik enerji kaynaklarından biridir. Bu ihtiyaca hem güvenli hem de verimli bir çözüm sunmak üzere geliştirilen Enorpa Turmalin Serisi Buhar Kazanları, yükse...","","post"
"8984","https://enorpa.com/en/turmalin-series-steam-boiler-the-new-face-of-industrial-heating/","Turmalin Series Steam Boiler: The New Face of Industrial Heating","turmalin-series-steam-boiler-the-new-face-of-industrial-heating",,"In industrial production processes, steam is one of the most critical energy sources. The Enorpa Turmalin Series Steam Boilers have been developed to provide a safe and efficient solution to&#8230;
","","post"
"9191","https://enorpa.com/tr/has-serisi-sicak-hava-kazanlari/","HAS SERİSİ Sıcak Hava Kazanları","has-serisi-sicak-hava-kazanlari",,"HAS SERİSİ Sıcak Hava Kazanları Enorpa Has serisi sıcak hava kazanı tasarımları yapılırken; optimum ısıl konstrüksiyon ve çevreye en az zarar veren karbonmonoksit salınımları göz önünde bulundurularak...","","post"
"9197","https://enorpa.com/en/has-series-hot-air-boilers/","HAS SERIES Hot Air Boilers","has-series-hot-air-boilers",,"HAS SERIES Hot Air Boilers The design of Enorpa&#8217;s Has Series hot air boilers is based on optimal thermal construction and minimal carbon monoxide emissions that harm the environment. Complete&#8...","","post"
"9474","https://enorpa.com/tr/kondenser-nedir-calisma-prensibi-verim-ve-uygulamalar-2/","Kondenser Nedir? Çalışma Prensibi, Verim ve Uygulamalar","kondenser-nedir-calisma-prensibi-verim-ve-uygulamalar-2",,"[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;90px&#8221; equal_height=&#8221;yes&#8221; content_placement=&#8221;middle&#8221; co...","","post"
"9482","https://enorpa.com/en/what-is-a-condenser-how-it-works-efficiency-and-uses/","What Is a Condenser? How It Works, Efficiency, and Uses","what-is-a-condenser-how-it-works-efficiency-and-uses",,"[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;90px&#8221; equal_height=&#8221;yes&#8221; content_placement=&#8221;middle&#8221; co...","","post"
